erv_name	chromosome	start	end	strand	overlap_feature_types	overlapping_transcript_ids	overlapping_gene_ids	overlapping_gene_names	gene_biotypes	strand_overlap	closest_upstream_pc_gene
W-70	1	51226973	51230497	+	intron	ENST00000366181	ENSG00000203356	LINC01562	lncRNA	opposite	.
5889	1	52217100	52225744	-	intron	ENST00000287727,ENST00000357206,ENST00000361625,ENST00000371591	ENSG00000157077	ZFYVE9	protein_coding	opposite	.
5890	1	53424629	53432944	+	intron	ENST00000563752	ENSG00000236253	SLC25A3P1	transcribed_processed_pseudogene	opposite	.
5891	1	53434941	53449829	+	exon and intron	ENST00000566100,ENST00000569142,ENST00000443844,ENST00000562700,ENST00000563752,ENST00000674099	ENSG00000236253,ENSG00000288527	SLC25A3P1	transcribed_processed_pseudogene,processed_pseudogene	opposite	.
5892	1	54630789	54639598	+	exon and intron	ENST00000371316	ENSG00000162390	ACOT11	protein_coding	same	.
5894	1	54893637	54903584	-	intron	ENST00000689429	ENSG00000242396	.	lncRNA	opposite	.
5893	1	54907263	54918510	-	intron	ENST00000689429	ENSG00000242396	.	lncRNA	opposite	.
5896	1	54955557	54963921	+	intron	ENST00000689429	ENSG00000242396	.	lncRNA	same	.
5895	1	55021043	55033673	+	no_overlap	.	.	.	.	none	BSND
5897	1	55728816	55738118	+	exon and intron	ENST00000422374,ENST00000671349,ENST00000634769,ENST00000643167,ENST00000646341	ENSG00000234810	.	lncRNA	same	.
5898	1	55781976	55788993	-	intron	ENST00000634769,ENST00000643167,ENST00000646341	ENSG00000234810	.	lncRNA	opposite	.
5901	1	58169728	58174110	+	intron	ENST00000485760	ENSG00000173406	DAB1	protein_coding	opposite	.
5903	1	62178463	62183792	-	exon	ENST00000635137	ENSG00000132849	PATJ	protein_coding	opposite	.
5904	1	62753980	62762193	+	no_overlap	.	.	.	.	none	.
5906	1	64186606	64192770	+	exon and intron	ENST00000646967	ENSG00000284928	.	lncRNA	same	.
5907	1	64349467	64356214	-	no_overlap	.	.	.	.	none	.
5909	1	65637767	65648036	-	exon	ENST00000349533	ENSG00000116678	LEPR	protein_coding	opposite	.
5913	1	66417246	66425819	-	no_overlap	.	.	.	.	none	.
5917	1	68386149	68395998	+	no_overlap	.	.	.	.	none	.
5918	1	70366861	70372373	+	exon and intron	ENST00000463058,ENST00000525653,ENST00000689607,ENST00000359875,ENST00000361764,ENST00000370940,ENST00000486110,ENST00000531950	ENSG00000197568	HHLA3	lncRNA	same	.
5919	1	70588485	70594003	+	no_overlap	.	.	.	.	none	.
5921	1	71502159	71510867	+	intron	ENST00000306821,ENST00000357731	ENSG00000172260	NEGR1	protein_coding	opposite	.
5922	1	72536819	72543692	-	intron	ENST00000653965,ENST00000662505,ENST00000665984,ENST00000688733	ENSG00000286863	.	lncRNA	opposite	.
5925	1	72980827	72983976	-	no_overlap	.	.	.	.	none	.
5924	1	72984498	72993622	-	no_overlap	.	.	.	.	none	.
5929	1	74740172	74745417	-	intron	ENST00000457880,ENST00000370867,ENST00000479111,ENST00000483990	ENSG00000162623	TYW3	protein_coding	opposite	.
5931	1	75377241	75387497	+	intron	ENST00000370855,ENST00000370859,ENST00000469525	ENSG00000137968	SLC44A5	protein_coding	opposite	.
5934	1	76894793	76900406	-	intron	ENST00000318803,ENST00000477717	ENSG00000117069	ST6GALNAC5	protein_coding	opposite	.
5937	1	78872186	78880915	+	no_overlap	.	.	.	.	none	.
5938	1	79488620	79493869	-	exon and intron	ENST00000692053	ENSG00000288822	.	lncRNA	same	.
5939	1	79636721	79644493	-	no_overlap	.	.	.	.	none	.
5940	1	79696346	79702067	-	no_overlap	.	.	.	.	none	.
5943	1	81245282	81251445	+	no_overlap	.	.	.	.	none	.
5944	1	82065185	82072875	-	no_overlap	.	.	.	.	none	.
5945	1	82354310	82360556	-	intron	ENST00000650063,ENST00000653483	ENSG00000233290	.	lncRNA	same	.
5946	1	82955304	82961581	+	intron	ENST00000452901,ENST00000669455,ENST00000659533,ENST00000419658	ENSG00000230817	LINC01362	lncRNA	same	.
5947	1	84185856	84193548	-	intron	ENST00000370680,ENST00000370684,ENST00000370685,ENST00000370688,ENST00000370689,ENST00000394839,ENST00000413538,ENST00000417530,ENST00000432111,ENST00000436133,ENST00000446538,ENST00000450730,ENST00000470673,ENST00000610457,ENST00000610703,ENST00000614872	ENSG00000142875	PRKACB	protein_coding	opposite	.
5952	1	86339776	86344673	+	no_overlap	.	.	.	.	none	.
5951	1	86409349	86416680	-	no_overlap	.	.	.	.	none	.
5953	1	86502068	86508345	+	no_overlap	.	.	.	.	none	CLCA1
5954	1	86801832	86809633	-	no_overlap	.	.	.	.	none	.
5955	1	88597915	88602972	+	intron	ENST00000458097,ENST00000645890,ENST00000657030	ENSG00000237505	PKN2-AS1	lncRNA	opposite	.
ERVW-8	1	88924527	88931881	+	no_overlap	.	.	.	.	none	.
5959	1	89087358	89088526	-	no_overlap	.	.	.	.	none	.
5961	1	89337706	89345852	+	no_overlap	.	.	.	.	none	.
W-71	1	91179130	91181141	+	no_overlap	.	.	.	.	none	.
5965	1	91217602	91221324	+	no_overlap	.	.	.	.	none	.
5966	1	91662450	91672448	-	no_overlap	.	.	.	.	none	.
5970	1	93829912	93838086	+	intron	ENST00000469315,ENST00000649852,ENST00000370244	ENSG00000137936	BCAR3	protein_coding	opposite	.
5973	1	94371746	94378713	-	intron	ENST00000656153	ENSG00000226835	ARHGAP29-AS1	lncRNA	opposite	.
5972	1	94445505	94448856	+	intron	ENST00000315713,ENST00000370214,ENST00000647998,ENST00000468860	ENSG00000117528	ABCD3	protein_coding	same	.
5975	1	94566484	94572689	-	no_overlap	.	.	.	.	none	.
5977	1	95644481	95648284	-	intron	ENST00000456933,ENST00000664663,ENST00000665349	ENSG00000228971	LINC02607	lncRNA	opposite	.
5978	1	96147728	96153745	+	no_overlap	.	.	.	.	none	.
5980	1	98800061	98806877	-	no_overlap	.	.	.	.	none	.
5981	1	99509510	99515369	+	intron	ENST00000438829,ENST00000635551	ENSG00000224445	LINC01708	lncRNA	opposite	.
5983	1	101499078	101506294	+	no_overlap	.	.	.	.	none	.
5985	1	101597411	101603403	-	no_overlap	.	.	.	.	none	.
5986	1	102086134	102092888	-	no_overlap	.	.	.	.	none	.
5987	1	102735636	102747998	-	no_overlap	.	.	.	.	none	.
5988	1	102833367	102841125	+	intron	ENST00000414418	ENSG00000230864	.	lncRNA	opposite	.
5991	1	103268224	103273353	+	no_overlap	.	.	.	.	none	.
5992	1	103649079	103655071	-	no_overlap	.	.	.	.	none	.
5994	1	103698052	103701660	+	no_overlap	.	.	.	.	none	.
5993	1	103743217	103749209	-	exon and intron	ENST00000684141	ENSG00000187733	AMY1C	protein_coding	opposite	.
5996	1	104380122	104388639	+	no_overlap	.	.	.	.	none	.
5997	1	104459779	104468289	-	no_overlap	.	.	.	.	none	.
5998	1	104597437	104603785	+	no_overlap	.	.	.	.	none	.
5999	1	105109273	105118215	+	no_overlap	.	.	.	.	none	.
6005	1	108473134	108480383	+	no_overlap	.	.	.	.	none	NBPF6
6007	1	109702614	109710648	+	exon and intron	ENST00000483399,ENST00000490021,ENST00000369831,ENST00000624726	ENSG00000134184,ENSG00000213366	GSTM1,GSTM2	protein_coding	same	GSTM2
6009	1	109853285	109861439	-	intron	ENST00000453347	ENSG00000228420	LINC01768	lncRNA	opposite	.
6011	1	111027889	111037387	+	no_overlap	.	.	.	.	none	.
6013	1	112123454	112132620	-	no_overlap	.	.	.	.	none	.
6015	1	112808820	112815357	+	no_overlap	.	.	.	.	none	.
6016	1	112826177	112832724	+	exon and intron	ENST00000667852,ENST00000401018,ENST00000661136,ENST00000449572,ENST00000433505	ENSG00000215866	LINC01356	lncRNA	opposite	.
6022	1	114363330	114369602	-	no_overlap	.	.	.	.	none	.
6024	1	115509134	115515373	-	no_overlap	.	.	.	.	none	.
6025	1	116743297	116752070	+	no_overlap	.	.	.	.	none	.
6026	1	116862580	116867559	+	no_overlap	.	.	.	.	none	.
6028	1	117815372	117821863	-	no_overlap	.	.	.	.	none	.
6029	1	118225658	118233123	+	no_overlap	.	.	.	.	none	.
6033	1	119164449	119171266	-	intron	ENST00000670000,ENST00000440150,ENST00000413531,ENST00000685192,ENST00000667138,ENST00000418015	ENSG00000231365	WARS2-AS1	lncRNA	opposite	.
6032	1	119174038	119177639	+	intron	ENST00000670000,ENST00000440150,ENST00000413531,ENST00000685192,ENST00000667138,ENST00000418015	ENSG00000231365	WARS2-AS1	lncRNA	same	.
6034	1	119423403	119431645	-	no_overlap	.	.	.	.	none	.
6035	1	119483759	119489557	-	no_overlap	.	.	.	.	none	.
6036	1	121510067	121514123	+	exon and intron	ENST00000437523,ENST00000666529	ENSG00000228826	.	lncRNA	opposite	.
6056	1	143764839	143778331	-	exon	ENST00000456826	ENSG00000242352	FAM91A3P	transcribed_processed_pseudogene	opposite	.
6062	1	150628158	150635776	-	exon and intron	ENST00000354702,ENST00000513281,ENST00000361631,ENST00000361532,ENST00000638926,ENST00000509582,ENST00000503241,ENST00000369016,ENST00000339643,ENST00000271690,ENST00000356527,ENST00000362052,ENST00000503345,ENST00000369014,ENST00000505321,ENST00000702956,ENST00000690011	ENSG00000143420,ENSG00000288880	ENSA	protein_coding,lncRNA	both	.
6061	1	150650451	150657785	+	intron	ENST00000271732,ENST00000427665	ENSG00000143457	GOLPH3L	protein_coding	opposite	.
6067	1	154048081	154053911	+	intron	ENST00000271854,ENST00000368553,ENST00000368559	ENSG00000143552	NUP210L	protein_coding	opposite	.
6068	1	154671474	154677936	+	exon and intron	ENST00000653192	ENSG00000287064	.	lncRNA	same	.
W-4	1	155622388	155626664	-	intron	ENST00000500626	ENSG00000246203	.	unprocessed_pseudogene	same	.
K-10	1	155626664	155635845	-	exon and intron	ENST00000668003,ENST00000500626	ENSG00000287839,ENSG00000246203	.	lncRNA,unprocessed_pseudogene	same	.
6072	1	155650287	155659631	-	exon and intron	ENST00000368339,ENST00000295566,ENST00000311573,ENST00000347088,ENST00000354691,ENST00000359205,ENST00000361140,ENST00000361831,ENST00000368330,ENST00000368340,ENST00000404643,ENST00000407221,ENST00000436865,ENST00000442834,ENST00000355499,ENST00000500626	ENSG00000163374,ENSG00000246203	YY1AP1	protein_coding,unprocessed_pseudogene	same	YY1AP1
6073	1	155691828	155699522	-	intron	ENST00000471214,ENST00000368336,ENST00000421487,ENST00000462002,ENST00000465375,ENST00000470830,ENST00000471642,ENST00000535183,ENST00000343043,ENST00000496863	ENSG00000132676	DAP3	protein_coding	opposite	.
6074	1	156180077	156187897	-	no_overlap	.	.	.	.	none	.
6075	1	157268908	157278348	-	exon and intron	ENST00000662441,ENST00000670336,ENST00000662968	ENSG00000271736	LINC02772	lncRNA	opposite	.
6076	1	157456946	157463367	-	no_overlap	.	.	.	.	none	.
6078	1	158947554	158959388	-	intron	ENST00000368138,ENST00000368140,ENST00000392252,ENST00000392254	ENSG00000163564	PYHIN1	protein_coding	opposite	.
6080	1	160687620	160690643	-	intron	ENST00000630436,ENST00000627799,ENST00000621431,ENST00000628340,ENST00000368045,ENST00000368046,ENST00000613788,ENST00000626085,ENST00000627996	ENSG00000228863,ENSG00000117091	CD48	lncRNA,protein_coding	both	.
K-21	1	160690783	160700016	+	exon and intron	ENST00000630436,ENST00000627996,ENST00000626085,ENST00000621431,ENST00000627799,ENST00000628340,ENST00000368045,ENST00000368046,ENST00000613788	ENSG00000228863,ENSG00000117091	CD48	lncRNA,protein_coding	both	.
6081	1	160716921	160725930	+	no_overlap	.	.	.	.	none	.
6083	1	161250326	161257712	+	no_overlap	.	.	.	.	none	.
6084	1	161404177	161410693	-	exon and intron	ENST00000400984,ENST00000636161,ENST00000637155	ENSG00000215840,ENSG00000283696,ENSG00000283360	.	processed_pseudogene,lncRNA	both	.
6085	1	161472930	161480292	+	no_overlap	.	.	.	.	none	.
6086	1	161480756	161486360	-	no_overlap	.	.	.	.	none	.
6087	1	161486731	161495378	+	no_overlap	.	.	.	.	none	.
6088	1	163591308	163597002	+	no_overlap	.	.	.	.	none	.
K-66	1	166605364	166611021	-	intron	ENST00000477875	ENSG00000290604	FMO9P	lncRNA	opposite	.
6091	1	167317843	167323390	-	exon and intron	ENST00000442313,ENST00000557909,ENST00000648671,ENST00000271411,ENST00000541643,ENST00000559038,ENST00000560232,ENST00000367866,ENST00000429375,ENST00000367865,ENST00000492850	ENSG00000143190	POU2F1	protein_coding	opposite	.
6092	1	167863090	167869903	+	intron	ENST00000367848,ENST00000367851,ENST00000545172	ENSG00000143199	ADCY10	protein_coding	opposite	.
6094	1	169661627	169670891	+	exon and intron	ENST00000498289	ENSG00000000460	C1orf112	protein_coding	same	.
6095	1	169683481	169691301	+	exon and intron	ENST00000498289,ENST00000650983,ENST00000236147	ENSG00000000460,ENSG00000188404	C1orf112,SELL	protein_coding	both	.
6098	1	171219224	171224440	+	exon and intron	ENST00000422841,ENST00000445290,ENST00000445909,ENST00000669750,ENST00000653116,ENST00000664920,ENST00000670085	ENSG00000225243,ENSG00000231424	.	lncRNA	opposite	.
6097	1	171224950	171233473	-	exon and intron	ENST00000445909,ENST00000445290,ENST00000669750,ENST00000653116,ENST00000664920,ENST00000670085	ENSG00000225243,ENSG00000231424	.	lncRNA	same	.
6099	1	171305045	171312905	+	no_overlap	.	.	.	.	none	.
6104	1	172795696	172812639	+	intron	ENST00000432694	ENSG00000224228	.	lncRNA	same	.
6106	1	173367994	173375971	+	no_overlap	.	.	.	.	none	.
6107	1	173376647	173386043	+	no_overlap	.	.	.	.	none	.
6108	1	173637223	173643032	+	exon and intron	ENST00000693292,ENST00000333279,ENST00000648193	ENSG00000289426,ENSG00000183831,ENSG00000285777	ANKRD45	lncRNA,protein_coding	both	TEX50
6109	1	173683959	173692052	-	no_overlap	.	.	.	.	none	.
6114	1	175097958	175107407	-	exon and intron	ENST00000239462,ENST00000621086	ENSG00000120332	TNN	protein_coding	opposite	.
6115	1	175269398	175277561	+	no_overlap	.	.	.	.	none	.
6116	1	176308345	176326337	-	intron	ENST00000701212,ENST00000660913,ENST00000654248	ENSG00000236021	COP1-DT	lncRNA	opposite	.
6118	1	178040362	178045925	+	no_overlap	.	.	.	.	none	.
ERVW-9	1	178141216	178143059	-	intron	ENST00000367649,ENST00000465723	ENSG00000075391	RASAL2	protein_coding	opposite	.
6119	1	178553827	178560028	-	no_overlap	.	.	.	.	none	.
6120	1	179437568	179443253	-	intron	ENST00000367618,ENST00000434088,ENST00000461179,ENST00000511157,ENST00000617277	ENSG00000162779	AXDND1	protein_coding	opposite	.
6122	1	181246196	181255342	+	no_overlap	.	.	.	.	none	.
6123	1	183613209	183622443	+	exon and intron	ENST00000665299,ENST00000359856	ENSG00000286966,ENSG00000162704	ARPC5	lncRNA,protein_coding	both	.
6124	1	183700888	183709310	-	exon and intron	ENST00000604110,ENST00000304685	ENSG00000270994,ENSG00000143344	RGL1	processed_pseudogene,protein_coding	both	.
6125	1	185578773	185596328	-	exon and intron	ENST00000665999,ENST00000657435,ENST00000655092,ENST00000608417,ENST00000654367,ENST00000655976,ENST00000665129,ENST00000667194,ENST00000670065,ENST00000609066,ENST00000667796,ENST00000667960,ENST00000439633,ENST00000655693,ENST00000665770,ENST00000669266,ENST00000670075	ENSG00000228309	LINC01350	lncRNA	same	.
6126	1	185947625	185954216	-	intron	ENST00000271588	ENSG00000143341	HMCN1	protein_coding	opposite	.
6127	1	186512485	186523752	+	exon and intron	ENST00000655945,ENST00000609032	ENSG00000229739,ENSG00000273198	PDC-AS1	lncRNA	same	.
6128	1	186914432	186922867	-	intron	ENST00000367466,ENST00000466600	ENSG00000116711	PLA2G4A	protein_coding	opposite	.
6129	1	187630701	187639303	+	exon and intron	ENST00000622228,ENST00000643891	ENSG00000274702,ENSG00000230426	LINC01036	processed_pseudogene,lncRNA	same	.
ERVMER61-1	1	187641225	187643860	+	exon and intron	ENST00000429725,ENST00000664099,ENST00000662036,ENST00000659970,ENST00000692148,ENST00000643044,ENST00000614505,ENST00000643891	ENSG00000230426	LINC01036	lncRNA	same	.
6132	1	187763315	187770890	-	no_overlap	.	.	.	.	none	.
6136	1	188254252	188261096	-	no_overlap	.	.	.	.	none	.
6135	1	188335032	188341843	-	no_overlap	.	.	.	.	none	.
6139	1	188664056	188672609	+	exon	ENST00000446368	ENSG00000235083	.	processed_pseudogene	same	.
6143	1	191234157	191240730	+	no_overlap	.	.	.	.	none	.
6144	1	193375076	193383555	-	no_overlap	.	.	.	.	none	.
6145	1	194423736	194427274	+	no_overlap	.	.	.	.	none	.
6146	1	195135208	195144760	+	no_overlap	.	.	.	.	none	.
6148	1	195732185	195738786	+	no_overlap	.	.	.	.	none	.
ERVH1q31.3	1	195847913	195848597	-	no_overlap	.	.	.	.	none	.
6152	1	196870349	196875321	+	intron	ENST00000649395	ENSG00000285986	.	unprocessed_pseudogene	same	.
6155	1	198034650	198042126	+	no_overlap	.	.	.	.	none	.
6157	1	199091139	199097994	+	no_overlap	.	.	.	.	none	.
6164	1	205859303	205864229	+	exon and intron	ENST00000656452,ENST00000664013,ENST00000664074,ENST00000665342,ENST00000670773,ENST00000656162,ENST00000656763,ENST00000669196,ENST00000662659,ENST00000664917,ENST00000653838,ENST00000659861,ENST00000659357,ENST00000662563,ENST00000664067,ENST00000653632,ENST00000658744,ENST00000659611,ENST00000669230,ENST00000670417	ENSG00000286619	.	lncRNA	same	.
ERVW-10	1	205866330	205875807	-	exon and intron	ENST00000664067,ENST00000656162,ENST00000656763,ENST00000669196,ENST00000662659,ENST00000664917,ENST00000653838,ENST00000659861,ENST00000659357,ENST00000662563,ENST00000653632,ENST00000658744,ENST00000659611,ENST00000669230,ENST00000670417,ENST00000665342,ENST00000664013,ENST00000664074,ENST00000670773	ENSG00000286619	.	lncRNA	opposite	.
6166	1	205884552	205890432	-	exon and intron	ENST00000653906,ENST00000652821,ENST00000659357,ENST00000664013,ENST00000664074,ENST00000665342,ENST00000670773,ENST00000656162,ENST00000656763,ENST00000669196,ENST00000662659,ENST00000664917,ENST00000653838,ENST00000659861,ENST00000662563,ENST00000653632,ENST00000658744,ENST00000659611,ENST00000669230,ENST00000670417,ENST00000664067	ENSG00000286619	.	lncRNA	opposite	.
6165	1	205890690	205905299	+	exon and intron	ENST00000653906,ENST00000652821,ENST00000653632,ENST00000653838,ENST00000656162,ENST00000656763,ENST00000658744,ENST00000659357,ENST00000659611,ENST00000659861,ENST00000662563,ENST00000662659,ENST00000664013,ENST00000664067,ENST00000664074,ENST00000664917,ENST00000665342,ENST00000669196,ENST00000669230,ENST00000670417,ENST00000670773	ENSG00000286619	.	lncRNA	same	.
6169	1	206052701	206058912	-	exon and intron	ENST00000582596,ENST00000582619,ENST00000604113,ENST00000647075,ENST00000585172,ENST00000331555,ENST00000584198,ENST00000647316	ENSG00000285417,ENSG00000263961	RHEX	transcribed_unitary_pseudogene,protein_coding	opposite	.
6171	1	207632284	207641252	-	exon and intron	ENST00000367051,ENST00000367052,ENST00000367053,ENST00000367049,ENST00000400960	ENSG00000203710	CR1	protein_coding	opposite	.
6174	1	209448804	209455626	+	no_overlap	.	.	.	.	none	.
6176	1	210111088	210116207	-	intron	ENST00000399639,ENST00000367015,ENST00000367019,ENST00000472886,ENST00000534859,ENST00000537238,ENST00000637265,ENST00000637945,ENST00000699295	ENSG00000143469	SYT14	protein_coding	opposite	.
6177	1	210187603	210195678	+	no_overlap	.	.	.	.	none	.
6180	1	211224277	211229655	+	no_overlap	.	.	.	.	none	.
6181	1	211687138	211694456	+	exon and intron	ENST00000421933,ENST00000703066,ENST00000443174	ENSG00000231057	NEK2-DT	lncRNA	same	.
W-5	1	211855796	211858921	-	no_overlap	.	.	.	.	none	.
6183	1	212423059	212428615	+	no_overlap	.	.	.	.	none	.
6184	1	212907312	212919912	+	exon and intron	ENST00000632866	ENSG00000282718	.	lncRNA	same	.
6185	1	213025526	213032448	-	no_overlap	.	.	.	.	none	.
6187	1	215409812	215415700	-	no_overlap	.	.	.	.	none	.
6188	1	216008128	216014110	+	intron	ENST00000307340,ENST00000674083	ENSG00000042781	USH2A	protein_coding	opposite	.
6189	1	216145056	216150415	+	intron	ENST00000307340,ENST00000674083	ENSG00000042781	USH2A	protein_coding	opposite	.
6191	1	217306164	217316008	+	no_overlap	.	.	.	.	none	.
6192	1	218595009	218599849	-	no_overlap	.	.	.	.	none	.
6193	1	218748956	218755271	-	no_overlap	.	.	.	.	none	.
6195	1	221947780	221958635	+	intron	ENST00000412445	ENSG00000238042	LINC02257	lncRNA	opposite	.
6196	1	221965964	221971618	+	exon and intron	ENST00000421147,ENST00000441160,ENST00000412445	ENSG00000228437,ENSG00000238042	LINC02474,LINC02257	lncRNA	both	.
6199	1	223022049	223030156	-	no_overlap	.	.	.	.	none	.
6203	1	224839927	224846082	-	intron	ENST00000657178	ENSG00000286719	.	lncRNA	same	.
6202	1	224885686	224893544	+	no_overlap	.	.	.	.	none	.
6205	1	225221768	225229271	+	intron	ENST00000430092,ENST00000439375,ENST00000445597,ENST00000682510	ENSG00000185842	DNAH14	protein_coding	same	.
6206	1	225791234	225801134	-	no_overlap	.	.	.	.	none	.
6207	1	226536207	226541736	-	exon and intron	ENST00000671364	ENSG00000287627	.	lncRNA	same	.
6208	1	226833699	226838425	+	exon	ENST00000664298	ENSG00000287259	.	lncRNA	same	.
6209	1	227501594	227505575	+	no_overlap	.	.	.	.	none	.
6211	1	227589717	227596629	-	intron	ENST00000343776,ENST00000440339,ENST00000465266,ENST00000608949	ENSG00000181450	ZNF678	protein_coding	opposite	.
6212	1	227618385	227631143	-	intron	ENST00000343776,ENST00000440339,ENST00000465266,ENST00000608949	ENSG00000181450	ZNF678	protein_coding	opposite	.
6214	1	228676127	228682649	-	no_overlap	.	.	.	.	none	.
6215	1	228947562	228951891	+	no_overlap	.	.	.	.	none	.
6217	1	229173970	229180173	+	intron	ENST00000662083,ENST00000666388	ENSG00000236975	LINC02814	lncRNA	opposite	.
6218	1	229412495	229420609	+	no_overlap	.	.	.	.	none	.
6219	1	229824325	229833252	+	intron	ENST00000650825	ENSG00000227043	LINC01682	lncRNA	opposite	.
ERVH1q42.2	1	230601215	230609194	+	intron	ENST00000685406,ENST00000689608,ENST00000692577	ENSG00000282564	.	lncRNA	same	.
6223	1	232118114	232125541	+	no_overlap	.	.	.	.	none	.
6225	1	232195767	232201038	-	no_overlap	.	.	.	.	none	.
6224	1	232229605	232234799	-	no_overlap	.	.	.	.	none	.
6226	1	233681187	233689204	-	no_overlap	.	.	.	.	none	.
6228	1	235670260	235675550	+	exon and intron	ENST00000697238,ENST00000697240,ENST00000389793,ENST00000462376,ENST00000473037,ENST00000697178,ENST00000697235,ENST00000697236,ENST00000697237,ENST00000697239	ENSG00000143669	LYST	protein_coding	opposite	.
6229	1	236926866	236938803	-	no_overlap	.	.	.	.	none	.
6230	1	237916848	237921655	+	exon and intron	ENST00000450451	ENSG00000237250	.	lncRNA	same	.
K-34	1	238762293	238764473	-	no_overlap	.	.	.	.	none	.
