"erv_name","subgenes","noncanon","canon","supergroup","class","comment","chromosome","start","end","strand","overlap_feature_types","overlapping_transcript_ids","overlapping_gene_ids","overlapping_gene_names","gene_biotypes","strand_overlap","closest_upstream_pc_gene","erv_group"
"2124","5LTR PBS MA CA NC IN TM","HERVIP",NA,"HERVIPADP",1,"","6",35561856,35567823,"-","exon and intron","ENST00000688067","ENSG00000289456",".","lncRNA","same",".","HERVIP"
"2637","5LTR CA NC Prot RT IN SU TM PPT 3LTR","HERVIP",NA,"HERVIPADP",1,"HERVIP with HERVE in 5«and HERV3 in middle","7",135174032,135184466,"+","exon","ENST00000354475,ENST00000423565,ENST00000682802,ENST00000683848,ENST00000683947,ENST00000684322,ENST00000684339,ENST00000682339,ENST00000682759,ENST00000683628,ENST00000684486","ENSG00000105875","WDR91","protein_coding","opposite",".","HERVIP"
"2724","5LTR PBS MA CA NC Prot RT IN 3LTR",NA,"HERVH","HERVHF",1,"","8",9058880,9065201,"-","exon and intron","ENST00000522258,ENST00000520332,ENST00000522612,ENST00000518663","ENSG00000104626","ERI1","protein_coding","opposite",".","HERVH"
"3052","5LTR PBS MA CA NC Prot RT IN","HERVH",NA,"HERVHF",1,"","9",35019245,35025461,"-","exon and intron","ENST00000668332","ENSG00000287868",".","lncRNA","same",".","HERVH"
"3104","CA NC DU Prot RT IN TM","HML1",NA,"HML",2,"HML4 + MER61 IN 3« DEVIATING PRO","9",90903903,90911679,"+","no_overlap",".",".",".",".","none",".","HML1"
"5302","5LTR PBS MA CA NC Prot RT IN SU","HERVH",NA,"HERVHF",1,"","X",12939864,12947330,"+","no_overlap",".",".",".",".","none",".","HERVH"
"5208","5LTR PBS MA CA NC Prot RT IN SU TM PPT 3LTR","HERV3",NA,"HERVERI",1,"HERV3 WITH SHORT PIECE OF HERVI, SURROUNDED BY HERV1 LTRS","Y",21240221,21249982,"-","intron","ENST00000696465","ENSG00000289707",".","lncRNA","opposite",".","HERV3"
"3508","5LTR PBS CA NC DU Prot RT IN PPT 3LTR","HML3",NA,"HML",2,"HML3","11",59923927,59931395,"+","no_overlap",".",".",".",".","none",".","HML3"
"3659","5LTR PBS CA NC Prot RT IN TM PPT","HERVH",NA,"HERVHF",1,"","11",122824427,122834651,"+","intron","ENST00000649590","ENSG00000285909",".","lncRNA","opposite",".","HERVH"
"3687","5LTR PBS CA NC Prot RT IN SU TM PPT 3LTR",NA,"HERVE","HERVERI",1,"","12",8281116,8291582,"-","exon and intron","ENST00000656887,ENST00000541031,ENST00000669735","ENSG00000286504,ENSG00000256589,ENSG00000286895","ENPP7P5","lncRNA,unprocessed_pseudogene","both",".","HERVE"
"3743","5LTR PBS MA CA NC Prot RT IN",NA,"HERVH","HERVHF",1,"","12",29135981,29140551,"-","no_overlap",".",".",".",".","none",".","HERVH"
"4174","5LTR PBS MA CA NC DU Prot IN TM PPT 3LTR","HML6",NA,"HML",2,"HML6","14",69809151,69819704,"+","no_overlap",".",".",".",".","none",".","HML6"
"4352","5LTR MA CA NC Prot IN SU TM PPT 3LTR","HERVI",NA,"HERVERI",1,"HERVI WITH HERV3 IN 3«1/3","16",20674232,20681995,"+","exon and intron","ENST00000501740,ENST00000561584,ENST00000519031,ENST00000307493,ENST00000520010,ENST00000519745,ENST00000568235","ENSG00000005187,ENSG00000166743","ACSM3,ACSM1","protein_coding","both",".","HERVI"
"4426","5LTR PBS MA CA NC Prot RT IN","HERVH",NA,"HERVHF",1,"","17",11971743,11978102,"+","exon and intron","ENST00000580270,ENST00000580306,ENST00000322748,ENST00000580613,ENST00000454073","ENSG00000266368,ENSG00000154957","ZNF18","lncRNA,protein_coding","opposite","DNAH9","HERVH"
"4657","5LTR PBS CA NC DU RT IN TM PPT 3LTR","HML5",NA,"HML",2,"HML5 WITH HML2, HML6 AND HERVW INSIDE","19",21620236,21631408,"+","no_overlap",".",".",".",".","none",".","HML5"
"4745","5LTR PBS MA CA NC Prot RT IN 3LTR",NA,"HERVH","HERVHF",1,"","19",47392828,47398771,"+","no_overlap",".",".",".",".","none",".","HERVH"
"4830","5LTR PBS CA NC Prot RT IN TM 3LTR",NA,"HERVE","HERVERI",1,"","20",24919441,24933027,"+","exon","ENST00000620459","ENSG00000274173","LINC02967","lncRNA","same",".","HERVE"
"4896","5LTR PBS Prot RT IN SU TM 3LTR",NA,"HERV3","HERVERI",1,"","21",38224030,38229830,"-","intron","ENST00000547341,ENST00000549805,ENST00000549158,ENST00000547595,ENST00000548700,ENST00000549932,ENST00000551422","ENSG00000157551","KCNJ15","protein_coding","opposite",".","HERV3"
"W-8",NA,NA,"HERVW",NA,NA,NA,"2",96217142,96223325,"-","intron","ENST00000665242,ENST00000666290,ENST00000432267,ENST00000659123,ENST00000446816","ENSG00000204685","STARD7-AS1","lncRNA","opposite",".","HERVW"
